Year,Legal Immigrants,Refugee Arrivals,Apprehensions,Noncitizen Removals,Noncitizen Returns
2011,1062040,56384,678606,390413,322046
2012,1031631,58179,795735,415579,231105
2013,990553,69909,786223,432201,178973
2014,1016518,69975,805334,405026,163836
2015,1051031,69920,596560,324303,129636
2016,1183505,84989,683782,332263,106479
2017,1127167,53691,607677,284298,100454
2018,1096611,22405,739486,327554,159960
2019,1031765,29916,1175841,347183,171125
2020,707362,11840,609265,237861,167453
